"station_name" "lat" "lng"
"230" "台北車站M7" "121.567181" "25.041263"
"231" "台北車站M8" "121.57512" "25.040995"
"232" "台北小巨蛋站出口1" "121.575383" "25.040704"
"233" "台北小巨蛋站出口2" "121.576155" "25.040704"
"234" "台北小巨蛋站出口3" "121.576574" "25.040699"
"235" "台北小巨蛋站出口4" "121.576622" "25.040961"
"236" "台北小巨蛋站出口5" "121.58141" "25.044422"
"237" "台大醫院站出口1" "121.581854" "25.043703"
"238" "台大醫院站出口2" "121.583277" "25.045232"
"239" "台大醫院站出口3" "121.582441" "25.045653"
"240" "台大醫院站出口4" "121.592726" "25.050319"
"241" "台電大樓站出口1" "121.592825" "25.050402"
"242" "台電大樓站出口2" "121.59363" "25.050599"
"243" "台電大樓站出口3" "121.593799" "25.050572"
"244" "台電大樓站出口4" "121.606357" "25.051911"
"245" "台電大樓站出口5" "121.60743" "25.052025"
"246" "臺北橋站出口" "121.569394" "25.033025"
"247" "頭前庄站出口1" "121.569809" "25.032366"
"248" "頭前庄站出口2" "121.570408" "25.03302"
"249" "頭前庄站出口3" "121.561671" "25.033107"
"250" "頭前庄站出口4" "121.561564" "25.032733"
"251" "土城站出口1" "121.563646" "25.032742"
"252" "土城站出口2" "121.564112" "25.033034"
"253" "土城站出口3" "121.563292" "25.033102"
"254" "萬芳社區站出口" "121.552602" "25.033377"
"255" "萬芳醫院站出口" "121.552332" "25.033032"
"256" "萬隆站出口1" "121.553282" "25.033022"
"257" "萬隆站出口2" "121.5534" "25.033022"
"258" "萬隆站出口3" "121.553526" "25.033326"
"259" "萬隆站出口4" "121.534442" "25.033693"
"260" "文德站出口1" "121.534487" "25.033391"
"261" "文德站出口2" "121.534882" "25.033396"
"262" "西湖站出口1" "121.535292" "25.033391"
"263" "西湖站出口2" "121.535989" "25.033369"
"264" "西門站出口1" "121.535952" "25.033654"
"265" "西門站出口2" "121.435264" "25.032932"
"266" "西門站出口3" "121.435277" "25.032315"
"267" "西門站出口4" "121.436541" "25.032776"
"268" "西門站出口5" "121.43652" "25.033175"
"269" "西門站出口6" "121.452168" "25.03615"
"270" "先嗇宮站出口1" "121.4525" "25.036014"
"271" "先嗇宮站出口2" "121.460783" "25.03963"
"272" "先嗇宮站出口3" "121.460931" "25.039068"
"273" "象山站出口1" "121.462247" "25.039853"
"274" "象山站出口2" "121.462242" "25.040485"
"275" "象山站出口3" "121.471319" "25.046497"
"276" "小碧潭站出口1" "121.471372" "25.046094"
"277" "小碧潭站出口2" "121.471801" "25.046239"
"278" "小南門站出口1" "121.483748" "25.055303"
"279" "小南門站出口2" "121.484451" "25.055429"
"280" "小南門站出口3" "121.485282" "25.056134"
"281" "小南門站出口4" "121.490673" "25.05971"
"282" "辛亥站出口" "121.491106" "25.059287"
"283" "新北投站出口" "121.492111" "25.060556"
"284" "新埔站出口1" "121.500281" "25.062966"
"285" "新埔站出口2" "121.512319" "25.06318"
"286" "新埔站出口3" "121.513258" "25.063195"
"287" "新埔站出口4" "121.51344" "25.063739"
"288" "新埔站出口5" "121.526095" "25.06284"
"289" "新店區公所站出口1" "121.526148" "25.062461"
"290" "新店區公所站出口2" "121.527114" "25.062476"
"291" "新店站出口" "121.526835" "25.062835"
"292" "新莊站出口1" "121.533004" "25.058316"
"293" "新莊站出口2" "121.533342" "25.058792"
"294" "信義安和站出口1" "121.533393" "25.059868"
"295" "信義安和站出口2" "121.532991" "25.060365"
"296" "信義安和站出口3" "121.527994" "25.034157"
"297" "信義安和站出口4" "121.527565" "25.03422"
"298" "信義安和站出口5" "121.527854" "25.033676"
"299" "行天宮站出口1" "121.528879" "25.033646"
"300" "行天宮站出口2" "121.529506" "25.033564"
"301" "行天宮站出口3" "121.529957" "25.033924"
"302" "行天宮站出口4" "121.529678" "25.033962"
"303" "徐匯中學站出口1" "121.528965" "25.034074"
"304" "徐匯中學站出口2" "121.464565" "25.091463"
"305" "亞東醫院站出口1" "121.464597" "25.091609"
"306" "亞東醫院站出口2" "121.464425" "25.091618"
"307" "亞東醫院站出口3" "121.472542" "25.085494"
"308" "永安市場站出口" "121.473739" "25.085791"
"309" "永春站出口1" "121.47988" "25.080303"
"310" "永春站出口2" "121.480583" "25.080332"
"311" "永春站出口3" "121.486398" "25.076586"
"312" "永春站出口4" "121.486752" "25.076946"
"313" "永春站出口5" "121.496656" "25.070536"
"314" "永寧站出口1" "121.411264" "25.021864"
"315" "永寧站出口2" "121.41077" "25.02118"
"316" "永寧站出口3" "121.412482" "25.022637"
"317" "永寧站出口4" "121.422282" "25.029048"
"318" "圓山站出口1" "121.422615" "25.028742"
"319" "圓山站出口2" "121.542121" "25.052625"
"320" "芝山站出口1" "121.541863" "25.051748"
"321" "芝山站出口2" "121.543237" "25.051719"
"322" "中山國小站出口1" "121.543237" "25.051719"
"323" "中山國小站出口2" "121.544338" "25.051727"
"324" "中山國小站出口3" "121.544908" "25.052057"
"325" "中山國小站出口4" "121.543819" "25.052018"
"326" "中山國中站出口" "121.54447" "25.052329"
"327" "中山站出口1" "121.520303" "25.052414"
"328" "中山站出口2" "121.520306" "25.052858"
"329" "中山站出口3" "121.521063" "25.052382"
"330" "中山站出口4" "121.521154" "25.052611"
"331" "中山站出口5" "121.519329" "25.053037"
"332" "中山站出口6" "121.519007" "25.052833"
"333" "中正紀念堂站出口1" "121.507566" "25.042137"
"334" "中正紀念堂站出口2" "121.508435" "25.041545"
"335" "中正紀念堂站出口3" "121.508888" "25.041789"
"336" "中正紀念堂站出口4" "121.509006" "25.042203"
"337" "中正紀念堂站出口5" "121.508789" "25.042935"
"338" "中正紀念堂站出口6" "121.507602" "25.042573"
"339" "中正紀念堂站出口7" "121.532388" "25.051842"
"340" "忠孝敦化站出口1" "121.532875" "25.051342"
"341" "忠孝敦化站出口2" "121.53287" "25.051085"
"342" "忠孝敦化站出口3" "121.53324" "25.051624"
"343" "忠孝敦化站出口4" "121.534081" "25.051882"
"344" "忠孝敦化站出口5" "121.533727" "25.052095"
"345" "忠孝敦化站出口6" "121.533195" "25.05247"
"346" "忠孝敦化站出口7" "121.532826" "25.05257"
"347" "忠孝敦化站出口8" "121.509862" "25.048737"
"348" "忠孝復興站出口1" "121.510506" "25.049583"
"349" "忠孝復興站出口2" "121.510227" "25.049943"
"350" "忠孝復興站出口3" "121.55153" "25.051836"
"351" "忠孝復興站出口4" "121.550715" "25.051571"
"352" "忠孝復興站出口5" "121.552549" "25.05152"
"353" "忠孝新生站出口1" "121.552898" "25.051534"
"354" "忠孝新生站出口2" "121.552069" "25.051838"
"355" "忠孝新生站出口3" "121.563643" "25.051517"
"356" "忠孝新生站出口4" "121.563073" "25.051215"
"357" "忠孝新生站出口5" "121.564595" "25.051328"
"358" "忠孝新生站出口6" "121.56471" "25.051588"
"359" "忠孝新生站出口7" "121.577022" "25.050171"
"360" "忠義站出口1" "121.576244" "25.050171"
"361" "忠義站出口2" "121.577464" "25.049799"
"362" "竹圍站出口1" "121.577971" "25.049799"
"363" "竹圍站出口2" "121.57813" "25.050557"
