section,address,lat,lng,unit_PRICE,PRICE,health,total_size,land_size,n_land,n_build,n_park,district_id,date,built_date,floor,total_floor,build_state,use,is.comp,is.manage,is.furn,n_room,n_hall,n_bath,id
2015Q1,臺北市大安區四維路170巷1~30號,25.02832,121.5478194,263.8838910879213,88e3,3,333.48,0,0,1,1,2,2014-10-21,2013-05-09,4,11,10,1,TRUE,TRUE,FALSE,4,2,3,69
2015Q1,臺北市大安區信義路二段91~120號,25.0344053,121.5269823,1505.6707078607744,77e3,1,51.14,0,0,1,0,2,2014-10-30,NA,1,12,10,2,TRUE,FALSE,FALSE,0,1,1,70
2015Q1,臺北市大安區通化街31~60號,25.0311851,121.5543338,1206.369631655139,15e4,0,124.34,0,0,1,0,2,2014-10-06,1993-07-20,-1,3,3,1,FALSE,FALSE,FALSE,0,0,0,71
2015Q1,臺北市文山區羅斯福路六段301~330號,24.9941611,121.5415433,556.9620253164557,55e3,0,98.75,128,0,1,0,9,2014-10-17,1969-06-30,1,4,3,1,FALSE,FALSE,FALSE,0,0,0,72
2015Q1,臺北市中正區南昌路一段1~30號,25.0331416,121.5159658,376.67867671143136,23e3,1,61.06,0,0,1,0,12,2014-10-07,NA,3,4,5,-1,TRUE,FALSE,FALSE,2,1,1,73
2015Q1,臺北市中正區汀州路三段271~300號,25.012527,121.5354658,280.8302808302808,46e3,0,163.8,0,0,1,0,12,2014-10-17,1984-12-15,2,7,1,-1,FALSE,FALSE,TRUE,0,0,0,74
2015Q1,臺北市中正區延平南路181~210號,25.0342563,121.5075713,151.41630624753347,188e3,0,1241.61,0,0,1,0,12,2014-10-23,1981-02-16,1,7,1,-1,FALSE,TRUE,FALSE,0,0,0,75
2015Q1,臺北市文山區萬隆街31~60號,25.000326,121.5378652,262.9733520336606,3e4,1,114.08,0,0,1,0,9,2014-10-26,NA,1,2,3,1,TRUE,FALSE,FALSE,0,1,1,76
2015Q1,臺北市信義區松仁路31~60號,25.0378347,121.5684806,998.2505890873481,978615,0,980.33,33.05,0,2,0,10,2014-10-17,2010-08-05,1,21,1,-1,FALSE,TRUE,FALSE,0,0,0,77
2015Q1,臺北市萬華區萬大路187巷1~30號,25.0284293,121.5016054,320.7184092366902,1e4,1,31.18,13.09,1,1,0,8,2014-10-10,1975-05-08,4,5,5,1,TRUE,FALSE,TRUE,2,1,1,78
2015Q1,臺北市士林區忠誠路一段1~30號,25.1041533,121.5266027,488.99755501222495,76e3,2,155.42,0,0,1,0,6,2014-10-27,2005-12-28,6,14,10,1,TRUE,TRUE,TRUE,3,1,2,79
2015Q1,臺北市中正區臨沂街61~90號,25.0372139,121.5291422,367.95626576955425,35e3,2,95.12,0,0,1,0,12,2014-10-22,1983-08-26,4,5,5,-1,TRUE,FALSE,FALSE,3,2,2,80
