"Id" "Image" "Name" "Area" "Location" "Type" "BuildYear" "UnitName" "UnitPhone" "Url" "Latitude" "Longitude"
"77" "6fbc5c93-fbda-4bca-9803-9e460e68d672" NA "北投98號綠地" "臺北市北投區" "石牌路二段(捷運紅線交叉口)" "綠地" "70" "園藝工程隊北區分隊" "02-28805456" "/Web/Park/Detail/6fbc5c93-fbda-4bca-9803-9e460e68d672" 25.11566 121.5155
"78" "5c53c06f-5b65-42e0-8839-5335be9f5248" NA "北投92號綠地" "臺北市北投區" "石牌路榮總前" "綠地" "82" "園藝工程隊北區分隊" "02-28805456" "/Web/Park/Detail/5c53c06f-5b65-42e0-8839-5335be9f5248" 25.11926 121.522278
"79" "ac62debf-e2b1-42c9-ad28-3fde4623980e" NA "北投91號綠地" "臺北市北投區" "石牌路榮總前" "綠地" "81" "園藝工程隊北區分隊" "02-28805456" "/Web/Park/Detail/ac62debf-e2b1-42c9-ad28-3fde4623980e" 25.11903 121.521637
"80" "102c8587-a6f9-461e-98b2-b3c823072738" NA "北投90號綠地" "臺北市北投區" "石牌路二段護專前" "綠地" "67" "園藝工程隊北區分隊" "02-28805456" "/Web/Park/Detail/102c8587-a6f9-461e-98b2-b3c823072738" 25.11862 121.520332
"81" "954b923c-785e-4955-92ad-a5d08b9296be" NA "地熱谷公園" "臺北市北投區" "臺北市北投區中山路30-1號(中山路與溫泉路交口)" "溫泉" "69" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/954b923c-785e-4955-92ad-a5d08b9296be" 25.13756 121.510979
"82" "7614f249-931e-402e-bf96-4c4f51b04df4" NA "奇岩二號公園" "臺北市北投區" "臺北市北投區216號(奇岩新社區公二)" "自然公園" "102" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/7614f249-931e-402e-bf96-4c4f51b04df4" 25.1265 121.503693
"83" "2074976d-12f6-4a54-b7ce-7824569049c3" NA "奇岩一號公園" "臺北市北投區" "臺北市北投區磺港路208號(奇岩新社區公一)" "自然公園" "102" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/2074976d-12f6-4a54-b7ce-7824569049c3" 25.12708 121.503754
"84" "7f446659-10b9-47f0-874c-355602381adf" NA "知行公園" "臺北市北投區" "位於北投區關渡里知行路225巷" "鄰里公園" "78" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/7f446659-10b9-47f0-874c-355602381adf" 25.11973 121.466652
"85" "e237dd84-166e-4a31-8208-ebfb4fd9ffbc" NA "稻香公園" "臺北市北投區" "位於北投區稻香里新興路72號對面" "鄰里公園" "79" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/e237dd84-166e-4a31-8208-ebfb4fd9ffbc" 25.14095 121.488579
"86" "e4700810-d78a-44f3-873f-30ca4b8f751e" NA "豐年公園" "臺北市北投區" "位於北投區豐年里中央北路大業路口" "鄰里公園" "75" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/e4700810-d78a-44f3-873f-30ca4b8f751e" 25.13601 121.496658
